,YEAR,COMPANY,VOLUME,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS,PRICE,BAN,MARKET CAP,ValueARG,VolumeARG
111,2021/3/0/0,HII,368315080000.0,15616825923.0,1940750643845.0,2046573398840.0,87503980645.0,9656000000.0,1078718126866.0,333133659447.0,1363274381267.0,20.95,0.0,0.0,14415637.777777778,719255.5555555555
112,2021/3/0/0,HMC,210000000000.0,11354270771.0,518512444498.0,547266119269.0,10233308733.0,5000000000.0,233625822143.0,791047257928.0,694354374795.0,31.45,0.0,0.0,16464488.333333334,522600.0
113,2021/3/0/0,HNG,11085538950.0,-181341132.0,393981603.0,379912695.0,41853241.0,,3720903853.0,1830285373.0,5912625583.0,7.86,0.0,0.0,42593263.777777776,5615722.222222222
114,2021/3/0/0,HOT,80000000000.0,-4466359562.0,10596957200.0,8264626629.0,11609307438.0,,5624793340.0,1729316320.0,19043862411.0,0.0,0.0,0.0,27470.0,725.0
115,2021/3/0/0,HPG,44729227060000.0,10350844197184.0,26812929844272.0,38673828690685.0,13376486099355.0,21440678216078.0,10856205170508.0,46006414493653.0,71995624227147.0,55.7,0.0,0.0,1781388402.2222223,31464122.222222224
116,2021/3/0/0,HPX,3041685810000.0,35855753339.0,189956980492.0,259933553397.0,205532547182.0,265101655731.0,2778211428349.0,4495036110694.0,2752266457228.0,34.0,0.0,0.0,23666242.222222224,720766.6666666666
117,2021/3/0/0,HQC,4766000000000.0,1005570679.0,20706463907.0,29423967825.0,33235377012.0,,3053327219182.0,524151154124.0,2772738170310.0,5.69,0.0,0.0,152113727.2222222,30649922.222222224
118,2021/3/0/0,HRC,302066220000.0,574022932.0,44301211245.0,46791549985.0,10653688994.0,,11219106902.0,25332282995.0,116420733666.0,53.0,0.0,0.0,145158.88888888888,2622.222222222222
119,2021/3/0/0,HSG,4446252130000.0,1701824286868.0,10030159798762.0,12983894346047.0,505654076442.0,23517531836.0,3765465221700.0,11646465270749.0,13666262674731.0,46.0,0.0,0.0,491265058.3333333,10303366.666666666
120,2021/3/0/0,HT1,3815899110000.0,-19655429645.0,992829301942.0,1038933310916.0,452242996511.0,14472451717.0,482991055315.0,1015763942228.0,3736641192138.0,24.0,0.0,0.0,106271128.33333333,4347388.888888889
121,2021/3/0/0,HTI,249492000000.0,-13147209706.0,7748932608.0,18831882053.0,14937745441.0,,12329603556.0,10110535374.0,55816011060.0,20.65,0.0,0.0,2106495.5555555555,107244.44444444444
122,2021/3/0/0,HTN,495092010000.0,22381317411.0,600360467374.0,652872516348.0,275593922376.0,98181939073.0,3989130266629.0,1341626648876.0,4930712452271.0,74.0,0.0,0.0,27071824.444444444,421322.22222222225
123,2021/3/0/0,HTV,131040000000.0,3063712642.0,73850271601.0,77608025642.0,27158586266.0,178849729765.0,150542135880.0,2147361447.0,107836503723.0,15.6,0.0,0.0,172338.125,10787.5
124,2021/3/0/0,HU1,100000000000.0,1018521169.0,422355847873.0,418322684086.0,21269246898.0,5330000000.0,458282950424.0,93109715089.0,470020376251.0,14.6,0.0,0.0,579016.6666666666,43622.22222222222
125,2021/3/0/0,HU3,99999440000.0,-652385907.0,24529886851.0,26375164453.0,5821780592.0,,153291485162.0,96796171050.0,146499236197.0,9.28,0.0,0.0,131470.66666666666,15622.222222222223
126,2021/3/0/0,HUB,190573160000.0,16759985850.0,84527113204.0,115596358236.0,91261925908.0,98125000000.0,80299489579.0,155452711821.0,238239802986.0,31.25,0.0,0.0,2918805.0,98377.77777777778
127,2021/3/0/0,HVX,415252500000.0,-1218113502.0,144456192785.0,151054231960.0,6330020509.0,,35417826717.0,101759341753.0,304015533309.0,8.32,0.0,0.0,570691.4444444445,67877.77777777778
128,2021/3/0/0,ICT,321850000000.0,10547536647.0,487585446802.0,529208835745.0,142115447837.0,20000000000.0,1226111294341.0,374190186342.0,1258286066895.0,23.0,0.0,0.0,4559504.444444444,201444.44444444444
