,YEAR,FOMULA,COMPANY,PRICE,BAN,VOLUME,MARKET CAP,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS,PROFIT,ValueARG,VolumeARG
75.00,2021/2/0/0,,EVE,15.35,19.30,419797730000.00,644389515550.00,4232664332.00,152395360202.00,226202292106.00,47103658996.00,536392679147.00,213938596648.00,350862077781.00,248284448674.00,0.00,308692307.69,23533.33
76.00,2021/2/0/0,,EVG,11.55,13.70,1050000000000.00,1212750000000.00,7631223379.00,304790666819.00,312716750074.00,58972544860.00,0.00,1078636419338.00,190307629870.00,300867814407.00,0.00,8139846153.85,875516.67
77.00,2021/2/0/0,,FCN,12.35,16.50,1254390050000.00,1549171711750.00,35022791789.00,626296974722.00,760530461600.00,324927301893.00,36778544346.00,3194803165980.00,1773243175088.00,4378469413299.00,0.00,11617692307.69,977218.18
78.00,2021/2/0/0,,FIR,11.75,40.40,270398640000.00,317718402000.00,3338162404.00,9780028517.00,29555039781.00,2627428348.00,0.00,284680507028.00,110989120330.00,188240912688.00,0.00,6770076923.08,196709.09
79.00,2021/2/0/0,,FIT,30.15,13.25,2547302470000.00,7680116947050.00,149224574263.00,218642243890.00,298051279587.00,53253531603.00,2219804005220.00,706972516391.00,364670854332.00,1257747471709.00,0.00,96013153846.15,5831809.09
80.00,2021/2/0/0,,FLC,10.40,12.45,7099978070000.00,7383977192800.00,22016701828.00,1310903609732.00,1261717243520.00,132401212051.00,205605702764.00,12588850173160.00,2027564798164.00,13759764339140.00,0.00,189921076923.08,17193390.91
81.00,2021/2/0/0,,FMC,11.30,49.00,588500000000.00,665005000000.00,81905812161.00,1058588746653.00,1160779408623.00,604208808077.00,9516255000.00,351117032193.00,971823610624.00,1032458549797.00,0.00,15371692307.69,344190.91
82.00,2021/2/0/0,,FPT,31.45,96.80,9075516490000.00,28542499361050.00,1259666449892.00,5181318450067.00,8641707284821.00,4978881337221.00,15532505379957.00,6675995128182.00,1849606883871.00,24989658347910.00,0.00,373579538461.54,4306627.27
83.00,2021/2/0/0,,FRT,82.70,54.90,789817920000.00,6531794198400.00,30235021845.00,3754373404973.00,4359296122541.00,609174092371.00,1873642389041.00,2153640057046.00,2468860831459.00,6428397385622.00,0.00,134686692307.69,3949290.91
84.00,2021/2/0/0,,FTM,27.60,5.58,500000000000.00,1380000000000.00,-46534546725.00,39110481089.00,44221667586.00,15398199954.00,220000000.00,798226816231.00,83401296974.00,1126761918663.00,0.00,836307692.31,251491.67
85.00,2021/2/0/0,,GAS,191.80,121.30,19139500000000.00,367095610000000.00,2301384256887.00,18919436564738.00,22701645313733.00,5947560639666.00,25650532773344.00,15328324085809.00,1990374242842.00,20039328990025.00,0.00,60190846153.85,679072.73
86.00,2021/2/0/0,,GDT,84.90,59.80,171369680000.00,1454928583200.00,19232448206.00,81398157853.00,114512497874.00,8935214048.00,199100013903.00,32296358722.00,82710067448.00,121826902696.00,0.00,3886307692.31,71063.64
87.00,2021/2/0/0,,GEG,51.70,21.62,2711751880000.00,14019757219600.00,73392829722.00,127686725481.00,320033799019.00,168382007821.00,0.00,910617586784.00,867558242082.00,1741950380234.00,0.00,5745384615.38,364827.27
88.00,2021/2/0/0,,GEX,17.20,28.30,4882440000000.00,8397796800000.00,520933782731.00,7318228302460.00,8696409726155.00,3096861341058.00,2690168774968.00,8277368590288.00,10446941289836.00,23080993594682.00,0.00,71908307692.31,3311680.00
89.00,2021/2/0/0,,GIL,26.55,81.12,360000000000.00,955800000000.00,115001619876.00,1010959921032.00,1258132845764.00,548274736783.00,516918572727.00,805527413034.00,518121882356.00,1677252320109.00,0.00,34313384615.38,517518.18
90.00,2021/2/0/0,,GMD,28.55,52.80,3013779570000.00,8604340672350.00,178277524592.00,432617742924.00,751669076983.00,499015540372.00,59450918735.00,1016367586887.00,65655233120.00,1903201376739.00,0.00,164287923076.92,3643963.64
91.00,2021/2/0/0,,GSP,34.65,16.40,360000000000.00,1247400000000.00,15289348985.00,395132544930.00,425078969548.00,100379198339.00,105000000000.00,180294442036.00,18537320495.00,322817148285.00,0.00,332769230.77,20725.00
