Time,COMPANY,VOLUME,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS
2021/3/0/0,DGW,885520250000.0,107255961503,3551152990708.0,3825124117208.0,569506983071,,2008641574055,934955701355.0,2298790076860
2021/3/0/0,DHA,151199460000.0,17144125901,47796166855.0,67547169679.0,36587939936,200790824157.0,83829693028,139950000.0,25345487898
2021/3/0/0,DHC,699944230000.0,87605537681,816101722845.0,948463394106.0,302196557359,14022773266.0,669915772561,329293142694.0,830771368635
2021/3/0/0,DHG,1307460710000.0,201310364489,485325463264.0,944449743687.0,62776317465,2250000000000.0,366612779178,940492172402.0,853082411329
2021/3/0/0,DHM,313961800000.0,34295364541,537588551707.0,564151132060.0,1564178798,49866702200.0,85970224932,124616270074.0,271289920069
2021/3/0/0,DIG,4248909620000.0,42268094857,361536166193.0,538511918203.0,2391956516382,58032482192.0,2547416597906,4295967298788.0,5770613131818
2021/3/0/0,DLG,2993097200000.0,1410407686,319657342409.0,394624155937.0,132515660299,50000000000.0,2173824267600,291091626618.0,2876308614901
2021/3/0/0,DMC,347274650000.0,38827225344,293557779450.0,387723258123.0,64904896726,195000000000.0,767248592592,398714480825.0,328564881472
2021/3/0/0,DPG,629995540000.0,71214878223,410871780967.0,548639691454.0,868675720868,25205442500.0,563963987669,669188652536.0,2131262006922
2021/3/0/0,DPM,3914000000000.0,630194791638,1783050982310.0,2824024236267.0,2773726247311,2495000000000.0,383867457735,1757696486106.0,2158584012045
2021/3/0/0,DPR,430000000000.0,76038262551,205329928651.0,300932287411.0,292701909669,628255845451.0,69589713519,229499529289.0,410064711177
2021/3/0/0,DQC,343594160000.0,242788790,81363846272.0,120541338949.0,37211415598,38739575850.0,405250766618,411098208291.0,416922107285
2021/3/0/0,DRC,1187926050000.0,33717597761,795249387479.0,929240262183.0,18142261140,220000000000.0,173537485482,1396665226091.0,1198743555951
2021/3/0/0,DRH,609999330000.0,1589457627,-247802328.0,205681818.0,21235299271,1221329250.0,835471869349,865838112119.0,1608948639240
2021/3/0/0,DRL,95000000000.0,9551181862,7206390516.0,18033980116.0,10630482143,57000000000.0,17006424987,810026460.0,7178116226
