,Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong
32,32,2013/1/0/0,1215893156.0,97247795119.0,110985679663.0,11129343452.0,1537448400.0,80447122897.0,121377951269.0,32236520019.0,
33,33,2012/4/0/0,1928122272.0,117093036671.0,135694719324.0,42872361640.0,-2597471600.0,50223922166.0,112800567791.0,26801013421.0,
34,34,2012/3/0/0,1453163765.0,89069780531.0,97252682070.0,54350727214.0,306000.0,54486820008.0,93368810024.0,24542319647.0,
35,35,2012/2/0/0,3807726733.0,119057551690.0,132741837096.0,78073449574.0,306000.0,65645015081.0,82674177783.0,24581777766.0,
36,36,2012/1/0/0,7048000906.0,107540665975.0,119877886956.0,64943381093.0,103229524.0,88913809394.0,70617393330.0,32679744184.0,
37,37,2011/4/0/0,12148617046.0,133971493412.0,150944746610.0,49648277426.0,2274203072.0,96831653345.0,87485704262.0,33251933722.0,
38,38,2011/3/0/0,17039563762.0,133867885624.0,170607551527.0,70574233241.0,757910290.0,122264869727.0,79466767979.0,69037456177.0,
39,39,2011/2/0/0,19299759650.0,161271990328.0,191880301852.0,84802373822.0,2973774920.0,108991714610.0,53031478727.0,42264681844.0,
40,40,2011/1/0/0,14926476076.0,97731183198.0,125863713260.0,80487218251.0,4197820200.0,98240410289.0,36522896104.0,35599947359.0,
41,41,2010/4/0/0,9542588135.0,121108788898.0,145107116550.0,76365463774.0,,113858425265.0,48731321217.0,33810976695.0,
42,42,2010/3/0/0,8190051573.0,98987377259.0,123097210637.0,70668513432.0,,104722093033.0,48075098615.0,35953415434.0,
43,43,2010/2/0/0,15860159412.0,102411077570.0,129067879439.0,104735834338.0,,108690361450.0,47890344248.0,28040619932.0,
44,44,2010/1/0/0,11822685554.0,84055734191.0,103130490621.0,121644232253.0,,75648001455.0,52202778507.0,35849154855.0,
45,45,2009/4/0/0,12816617331.0,69401538616.0,95333586520.0,128442791176.0,,78882577018.0,52216472279.0,40038007968.0,
46,46,2009/3/0/0,14564741612.0,124223216602.0,155530703639.0,38499668777.0,,155804128118.0,44543319020.0,33043029391.0,
47,47,2009/2/0/0,17974188795.0,99483815133.0,120146675093.0,64886086248.0,,104308431779.0,59123309751.0,37497005619.0,
48,48,2009/1/0/0,8086958512.0,75649559233.0,92365008400.0,82116002471.0,,109235962012.0,50749310634.0,52465447721.0,
49,49,2008/4/0/0,-14734307355.0,87394348332.0,106595190547.0,,,,,,
50,50,2008/3/0/0,965157454.0,76628301088.0,96868078816.0,,,,,,
51,51,2008/2/0/0,,,,,,,,,
52,52,2008/1/0/0,,,,,,,,,
