<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SZL,20211101,61.5,61.5,59.7,59.7,26800
TAC,20211101,62.2,63.9,60.2,63.9,131400
TBC,20211101,31,31,30.8,30.8,13200
TCB,20211101,51.7,52.5,51.5,51.6,25398000
TCD,20211101,36.1,36.8,34.95,36.2,837300
TCH,20211101,18,18.9,18,18.85,12784500
TCL,20211101,39.85,40.5,39.8,40.2,289100
TCM,20211101,77.6,79.8,76.7,78,1449100
TCO,20211101,28,28.4,27.7,27.7,218700
TCR,20211101,4.9,5.03,4.75,4.97,213000
TCT,20211101,34.35,34.35,33.95,33.95,23100
TDC,20211101,29.3,31.35,28.3,31.2,1892900
TDG,20211101,10.6,10.8,10.4,10.8,562400
TDH,20211101,13.25,13.7,13.2,13.45,3883700
TDM,20211101,34.15,35.1,34.15,34.9,608100
TDP,20211101,27.45,27.45,26.4,26.4,97400
TDW,20211101,35.1,35.1,35,35,300
TEG,20211101,17,17.7,16.5,17,962400
TGG,20211101,22,23.5,22,22.65,490500
THG,20211101,97.8,99,92,94,105900
THI,20211101,27.55,28.95,27.55,28.95,6300
TIP,20211101,50.8,53,50,51.8,440900
TIX,20211101,35.9,36.2,35.8,36,18400
TLD,20211101,10.1,10.55,9.68,10.55,1484700
TLG,20211101,42,42,41.05,41.55,77800
TLH,20211101,24.2,24.2,23.15,23.35,3884900
TMP,20211101,50.1,50.1,49.7,50,4300
TMS,20211101,80.9,81.5,77.8,81.2,215300
TMT,20211101,16,16.25,16,16.25,134900
TN1,20211101,39.5,39.6,39,39,12200
TNA,20211101,15.65,16.05,15.4,15.7,626700
TNC,20211101,32.25,34.6,32.2,32.2,50000
TNH,20211101,50.5,51,47.5,47.7,1850200
TNI,20211101,6.3,6.36,6.1,6.36,3560900
TNT,20211101,12.05,12.15,11.9,12.15,1127900
TPB,20211101,44.85,44.85,42.9,43.4,3171500
TPC,20211101,10.1,10.1,9.53,10,1600
TRA,20211101,90.1,91,90,91,24700
TRC,20211101,45.7,47.8,45,47.2,32100
TSC,20211101,13,13.55,12.65,13.4,7154700
TTA,20211101,16.85,17.05,16.45,16.8,1746700
TTB,20211101,9.2,9.79,9.16,9.79,6705800
TTF,20211101,9.59,10.1,9.59,9.85,10455000
TV2,20211101,62.7,62.7,61.5,62.5,452200
TVB,20211101,25.5,25.65,24.8,24.8,2813300
TVS,20211101,37.9,37.95,37.5,37.95,391400
TVT,20211101,31.55,32.2,31.5,32,22400
TYA,20211101,19.8,19.9,19.7,19.85,16200
UDC,20211101,10.2,10.2,9.7,9.89,289000
UIC,20211101,63,63.3,60.1,60.6,20000
VAF,20211101,13.55,14.4,13.55,13.65,7900
VCA,20211101,17.8,18,17.7,17.8,62700
VCB,20211101,98.1,98.2,97,97,1057500
VCG,20211101,41.55,41.9,41.4,41.6,393400
VCI,20211101,64.7,68.4,64.6,68,12424300
VDS,20211101,32.6,34.5,32.6,34,1784000
VFG,20211101,51,51,51,51,100
VGC,20211101,41,42,40.3,41.05,1967200
VHC,20211101,63,65.8,62.7,64.5,1186600
VHM,20211101,86,86.9,84,84.3,9723600
VIB,20211101,37,37.1,36.55,36.6,847700
VIC,20211101,95.8,96,94.9,95.8,2226600
VID,20211101,12.2,12.2,11.5,11.6,46800
VIP,20211101,12.75,12.95,12.5,12.6,2087900
VIS,20211101,19.15,19.8,19.05,19.5,19300
VIX,20211101,22.8,23.75,22.55,23.75,6836500
VJC,20211101,131.9,131.9,129.9,130,991500
VMD,20211101,38,39.5,37.5,39.3,179900
VND,20211101,57.5,59.5,57.1,59.1,11127400
VNE,20211101,11,11.75,10.95,11.2,1718000
VNG,20211101,13.9,13.9,13.7,13.8,207300
VNL,20211101,29.5,29.8,28.55,28.8,147300
VNM,20211101,90.8,91.3,89.8,90,5083800
VNS,20211101,11.4,11.4,11.4,11.4,24500
VOS,20211101,24.8,25.1,24,24.1,4506900
VPB,20211101,38,38.35,37.5,37.55,6479400
VPD,20211101,18.8,18.8,18.7,18.8,24200
VPG,20211101,69.1,69.2,67,67.2,837800
VPH,20211101,8.3,8.77,8.2,8.77,2854900
VPI,20211101,44.6,44.6,43.2,43.2,739400
VPS,20211101,15.7,15.7,15.3,15.5,4100
VRC,20211101,19.65,19.75,19.25,19.25,380300
VRE,20211101,31.4,31.4,30.9,31.15,10261800
VSC,20211101,70.6,72,70.6,71.5,1001000
VSH,20211101,31.4,31.6,30.5,30.8,208600
VTB,20211101,12.1,12.2,12,12.2,29500
VTO,20211101,13.4,13.7,13.25,13.4,1494200
YBM,20211101,9.29,9.5,9.29,9.4,76100
YEG,20211101,16.45,16.5,16,16.1,336200
